Dziurawa Nisza w Jatkach,Tatry
Komora w Jatkach,Tatry
Nyża przy Jatkach,Tatry
Schron za Irgą,Tatry
Dziura,Tatry
Dziura Wyżnia,Tatry
Lisia Jama,Tatry
Nisza w Jatkach,Tatry
Jaskinia w Cycku,Tatry
Nyża nad Olczyską II,Tatry
Grota Filipczańska nad Mostkiem,Tatry
Filipczańska Szczelina,Tatry
Grota Filipczańska Wyżnia,Tatry
Jaskinia Filipczańska Niżnia,Tatry
Schronisko w Międzyścianach I,Tatry
Schronisko w Międzyścianach II,Tatry
Schronisko w Międzyścianach III,Tatry
Schron w Skale Kmietowicza I,Tatry
Schron w Skale Kmietowicza II,Tatry
Wojtkowa Szpara,Tatry
Schron pod Zbójnicką Turnią,Tatry
Jaskinia w Małym Krakowie,Tatry
Tatowa Szczelina,Tatry
Dziura nad Doliną Strążyską,Tatry
Nyża Giewontowa,Tatry
Kominek Giewontowy,Tatry
Mała Dziura Giewontowa,Tatry
Dziura za Głazami,Tatry
Płaska Nyża,Tatry
Szczelina w Suchym Żlebie,Tatry
Nyża z Mostem,Tatry
Kalacki Tunelik,Tatry
Mokra Koleba,Tatry
Frapująca Nyża,Tatry
Szczelina pod Frapującą Nyżą,Tatry
Kalacka Nyża I,Tatry
Kalacka Szczelina,Tatry
Kalacka Nyża II,Tatry
Jaskinia Kalacka,Tatry
Korytarzyk przy Kalackiej,Tatry
Korytarzyk nad Kalacką,Tatry
Nyża nad Olczyską I,Tatry
Zbójecka Dziura,Tatry
Szczelina Chochołowska,Tatry
Kamienne Mleko,Tatry
Jaskinia Mała,Tatry
Jaskinia pod Szczytem,Tatry
Jaskinia Korytarzowa,Tatry
Piwnica,Tatry
Schron przy Szczelinie,Tatry
Schronisko Dudowe,Tatry
Dudowy Schron,Tatry
Szczelina Zawaliskowa nad Kufą,Tatry
Jaskinia Lodowa nad Kufą,Tatry
Szczelina przy Lodowej nad Kufą,Tatry
Schron w Opalonem I,Tatry
Schron w Opalonem II,Tatry
Schron pod Kufą Zachodni,Tatry
Szczelina przed Kufą,Tatry
Schron Wschodni pod Kufą,Tatry
Nisza przy Szemrzącym Schronie I,Tatry
Nisza przy Szemrzącym Schronie II,Tatry
Dziurawiec,Tatry
Jaskinia nad Mostkiem Niżnia,Tatry
Jaskinia nad Mostkiem Wyżnia,Tatry
Wielka Nyża,Tatry
Korytarz do Naciekowej,Tatry
Jaskinia Goryckiego,Tatry
Jaskinia między Żleby,Tatry
Jaskinia Mroźna,Tatry
Jaskinia Zimna,Tatry
Okna Zbójnickie Niżnie,Tatry
Schronisko przy Ścianach,Tatry
Okno Zbójnickie Wyżnie,Tatry
Schron w Wyżniej Bramie Chochołowskiej,Tatry
Przelot,Tatry
Dziura pod Oknem,Tatry
Jaskinia Balkonowa,Tatry
Jaskinia Naciekowa,Tatry
Jaskinia pod Ostrewką,Tatry
Nyża w Wąwozie Między Ściany,Tatry
Zbójnicka Nyża,Tatry
Jaskinia Trójotworowa,Tatry
Jaskinia Krwawego Nosa,Tatry
Szczelina nad Zimną,Tatry
Schron pod Jaskinią Goryckiego,Tatry
Lejek,Tatry
Szczelina nad Mostkiem,Tatry
Dziura w Stołach,Tatry
Wielka Szczelina,Tatry
Jaskinia Zawaliskowa w Stołach,Tatry
Otwarty Schron,Tatry
Korytarz z Różą,Tatry
Dziura pod Kazalnicą,Tatry
Schron pod Kazalnicą,Tatry
Dziura w Organach VII,Tatry
Schron przed Sową I,Tatry
Schron przed Sową II,Tatry
Schron przed Sową III,Tatry
Kopalnia Maturka,Tatry
Szczelina przy Dziurawcu,Tatry
Dziura nad Wapiennikiem,Tatry
Zimna Szczelina I,Tatry
Zimna Szczelina II,Tatry
Zimna Szczelina III,Tatry
Sowia Jama I,Tatry
Sowia Jama II,Tatry
Sowia Jama III,Tatry
Wiciowy Schron,Tatry
Szczelina za Okrętem I,Tatry
Dziurawa Koleba,Tatry
Szczelina za Okrętem II,Tatry
Szczelina za Okrętem III,Tatry
Nisza z Jaworem,Tatry
Komora w Okręcie,Tatry
Szczelina pod Tunelem Pawlikowskiego,Tatry
Szczelina w Osmętnicy,Tatry
Jaskinia Kuźnica,Wyżyna Śląsko-Krakowska
Schron ze Świeczką,Tatry
Wąska Szczelina,Tatry
Schron przy Naciekowej,Tatry
Dziura w Organach VI,Tatry
Jaskinia pod Murem,Tatry
Bardzo Niska Nyża,Tatry
Zamczysko Niżnie,Tatry
Zamczysko Wyżnie,Tatry
Okno w Zamczysku,Tatry
Nyża z Dzięglem,Tatry
Schronisko w Kalwarii,Tatry
Szczelina z Mostkiem,Tatry
Jaskinia Zakopiańska,Tatry
Jaskinia przy Sikawce,Tatry
Żwirowa Dziura Wyżnia,Tatry
Żwirowa Dziura Niżnia,Tatry
Szczelina w Dudzińcu,Tatry
Schronisko przy Jaskini w Dudzińcu,Tatry
Dziura w Organach II,Tatry
Schron pomiędzy Żwirowymi Dziurami,Tatry
Jaskinia w Dudzińcu,Tatry
Dziura w Organach IV,Tatry
Szczelina nad Jaskinią w Dudzińcu,Tatry
Dziura w Organach III,Tatry
Dziura w Organach I,Tatry
Dziura w Organach V,Tatry
Szpaciarnia I na Górze Zelce,Wyżyna Śląsko-Krakowska
Jaskinia Miętusia Wyżnia,Tatry
Schron w Piecu,Tatry
Jaskinia Niedźwiedzia Niżnia,Tatry
Jaskinia Niedźwiedzia Średnia,Tatry
Jaskinia w Małej Świstówce,Tatry
Dziura nad Wantulami I,Tatry
Dziura nad Wantulami II,Tatry
Dziura nad Wantulami III,Tatry
Podwójna Szczelina,Tatry
Szczelina w Wołowym Żlebie,Tatry
Jaskinia Miętusia,Tatry
Nyża przy Schodkach,Tatry
Szczelina w Niedźwiedziu,Tatry
Kozia Grota,Tatry
Dziura w Szczerbie II,Tatry
Dziura w Szczerbie I,Tatry
Jaskinia Śpiących Rycerzy,Tatry
Szczelina w Żlebie Kirkora,Tatry
Nyża pod Brzózką,Tatry
Nyża w Siodłowej Turni,Tatry
Siwarowa Dziura,Tatry
Nyża przy Starym Szlaku,Tatry
Nyża nad Siodłem,Tatry
Schron Partyzantów,Tatry
Tunel pod Siwarową Dziurą,Tatry
Jaskinia Juhaska,Tatry
Jaskinia Błotna,Tatry
Ruda Nyża,Tatry
Jaskinia Zawaliskowa w Długim Giewoncie,Tatry
Nisza przy Zagonie,Tatry
Szczelina w Giewoncie I,Tatry
Szczelina w Giewoncie II,Tatry
Szczelina pod Głazem,Tatry
Studnia w Giewoncie,Tatry
Kozi Korytarz,Tatry
Jaskinia nad Zagonem,Tatry
Szczelina w Iglicy,Tatry
Jaskinia pod Iglicą,Tatry
Jaskinia Goryczkowa,Tatry
Myślenicka Dziura,Tatry
Jaskinia Kasprowa Niżnia,Tatry
Jaskinia Bystrej,Tatry
Jaskinia nad Korytem,Tatry
Dziura nad Korytem,Tatry
Jaskinia Dudnica,Tatry
Tunel Małołącki,Tatry
Myślenicka Szczelina,Tatry
Nyża pod Myślenicką Szczeliną,Tatry
Grota u podnóża Myślenickich Turni,Tatry
Myślenicka Nyża,Tatry
Schron z Nietoperzami,Tatry
Myślenicki Korytarzyk,Tatry
Jaskinia nad Wyżniem,Tatry
Szczelina w Myślenickich Turniach Dolna,Tatry
Szczelina w Myślenickich Turniach Górna,Tatry
Szczelina nad Wyżniem,Tatry
Jaskinia Zwolińskiego,Tatry
Szczelina pod Zagonną Turnią,Tatry
Jaskinia Kasprowa Wyżnia,Tatry
Nyża z Kozicami,Tatry
Jaskinia Kasprowa Średnia,Tatry
Schron Partyzantów II,Tatry
Szczelina nad Zagonem,Tatry
Szczelina w Zawraciku Kasprowym I,Tatry
Kasprowe Schronisko,Tatry
Szczelina w Zawraciku Kasprowym II,Tatry
Jaskinia pod Limbą,Tatry
Jaskinia Śpiących Rycerzy Wyżnia,Tatry
Jaskinia Partyzancka I,Tatry
Dziura nad Jaskinią Śpiących Rycerzy I,Tatry
Szczelina nad Partyzancką,Tatry
Dziura nad Jaskinią Śpiących Rycerzy II,Tatry
Dziura nad Jaskinią Śpiących Rycerzy III,Tatry
Szczelina przy Nyży z Kozicami,Tatry
Schronisko Jasne w Czubie Jaworzyńskiej,Tatry
Jaskinia w Czubie Jaworzyńskiej,Tatry
Jaskinia Partyzancka II,Tatry
Nyża pod Zawracikiem,Tatry
Sztolnia w Węglówce II,Karpaty
Schronisko w Skale Jaś i Małgosia,Wyżyna Śląsko-Krakowska
Dziura pod Kamieniem,Tatry
Nisza w Zawraciku Kasprowym,Tatry
Szczelina w Zawraciku Kasprowym III,Tatry
Szczelina w Zawraciku Kasprowym IV,Tatry
Jaworzyńska Nyża pod Iglicą,Tatry
Szpara w Zagonnej Turni,Tatry
Schron nad Przełączką,Tatry
Jaskinia Magurska,Tatry
Nyża pod Jaskinią Magurską I,Tatry
Nyża pod Jaskinią Magurską II,Tatry
Nyża pod Jaskinią Magurską III,Tatry
Dziura pod Jaskinią Magurską,Tatry
Nyża pod Jaskinią Magurską IV,Tatry
Dziura z Gawrą,Tatry
Szczelina nad Jaskinią Magurską,Tatry
Dziura w Zawiesistej,Tatry
Jaskinia Dwuotworowa w Iwanówce,Tatry
Awen Odpękniętych Nacieków,Tatry
Suchy Biwak,Tatry
Schronisko pod Dziobem I,Tatry
Jaskinia Mechata,Tatry
Schronisko pod Dziobem II,Tatry
Jaskinia Lejowa Wyżnia,Tatry
Schronisko pod Dziobem III,Tatry
Tylkowa Szczelina,Tatry
Schron za Smrekiem,Tatry
Schron z Płytą,Tatry
Szczelina w Iwanówce,Tatry
Schron Zachodni w Iwanówce,Tatry
Jaskinia pod Głazem,Tatry
Jaskinia Skośna,Tatry
Jaskinia w Kosówkach,Tatry
Jaskinia Bańdzioch Kominiarski,Tatry
Jaskinia Troista,Tatry
Schron przy Suchym Biwaku,Tatry
Jaskinia Rura Kominiarska,Tatry
Szczelina w Smytniej,Tatry
Jaskinia Samsonowicza,Wyżyna Śląsko-Krakowska
Schron nad Żlebem,Tatry
Schron nad Lejową,Tatry
Jaskinia pod Kapliczką,Tatry
Jaskinia Ślimacza,Tatry
Jaskinia Smytnia,Tatry
Jaskinia nad Smytnią,Tatry
Szczelina przy Zawieszonej Skale I,Tatry
Szczelina przy Zawieszonej Skale II,Tatry
Nisza Zachodnia,Tatry
Nisza Wschodnia,Tatry
Jaskinia Nowa nad Raptawicką Granią,Tatry
Dziura pod Nową,Tatry
Koliba w Smytniej,Tatry
Schron przy Troistej I,Tatry
Tunel Wiatru,Tatry
Schron przy Troistej II,Tatry
Jaskinia nad Prożkiem w Żlebie Na Spady,Tatry
Sarni Schron,Tatry
Jaskinia pod Wiśniakową Jamą,Tatry
Wiśniakowa Jama,Tatry
Lejowa Szczelina,Tatry
Schronisko nad Wiśniakową Jamą,Tatry
Nyża nad Prożkiem w Żlebie Na Spady,Tatry
Schron w Ścianie pod Szczytem,Tatry
Schron z Kołem,Tatry
Komórka nad Smytnią,Tatry
Jaskinia z Mułem,Tatry
Szczelina pod Skośną,Tatry
Szczelina w Grani I,Tatry
Szczelina ze Śniegiem,Tatry
Korytarzyk w Czarnych Turniach,Tatry
Nyża przy Perci,Tatry
Dziurka od Klucza,Tatry
Nisza nad Jelenią Percią,Tatry
Nyża nad Bramką,Tatry
Schronisko nad Bramką,Tatry
Schronisko przy Jeleniej Perci,Tatry
Schronisko nad Trawersem w Żeleźniaku I,Tatry
Schronisko nad Trawersem w Żeleźniaku II,Tatry
Szczelina w Grani II,Tatry
Szczelina przed Bańdziochem,Tatry
Kominek przy Bańdziochu,Tatry
Trzyotworowy Kominek przy Bańdziochu,Tatry
Jaskinia Mylna,Tatry
